timestamp,gpu_util,mem_used_mib,mem_free_mib,temp_c,power_w
2026-08-04T02:51:35,29,1032,6975,63,12.54
2026-08-04T02:56:35,20,2129,5878,73,88.25
2026-08-04T03:01:35,29,1010,6997,56,10.96
2026-08-04T03:06:35,18,2098,5909,73,81.18
2026-08-04T03:11:35,31,1010,6997,56,11.18
2026-08-04T03:16:36,30,1007,7000,60,12.20
2026-08-04T03:21:36,16,1919,6088,65,35.20
2026-08-04T03:26:36,12,1919,6088,65,29.33
2026-08-04T03:31:36,31,1009,6998,56,12.74
2026-08-04T03:36:37,15,2432,5575,62,51.21
2026-08-04T03:41:37,16,2432,5575,67,58.46
2026-08-04T03:46:37,1,1010,6997,55,6.89
2026-08-04T03:51:37,1,1011,6996,53,6.62
2026-08-04T03:56:37,0,1011,6996,51,6.80
2026-08-04T04:01:38,1,1011,6996,50,6.56
2026-08-04T04:06:38,1,1011,6996,49,7.29
2026-08-04T04:11:38,1,1011,6996,49,6.52
2026-08-04T04:16:38,1,1011,6996,50,6.69
2026-08-04T04:21:38,1,1011,6996,49,6.97
2026-08-04T04:26:38,1,1011,6996,49,7.47
2026-08-04T04:31:38,1,1010,6997,50,6.82
2026-08-04T04:36:38,1,1010,6997,49,6.75
2026-08-04T04:41:38,1,1010,6997,49,7.52
2026-08-04T04:46:38,1,1010,6997,49,6.52
2026-08-04T04:51:38,0,1010,6997,49,6.57
2026-08-04T04:56:39,1,1010,6997,50,6.79
2026-08-04T05:01:39,1,1010,6997,50,6.57
2026-08-04T05:06:39,1,1010,6997,50,6.60
2026-08-04T05:11:39,1,1010,6997,49,6.56
2026-08-04T05:16:39,1,1010,6997,50,6.54
2026-08-04T05:21:39,1,1010,6997,49,6.59
2026-08-04T05:26:39,1,1010,6997,50,6.71
2026-08-04T05:31:39,1,1010,6997,50,6.97
2026-08-04T05:36:39,1,1010,6997,49,7.41
2026-08-04T05:41:39,1,1010,6997,49,6.63
2026-08-04T05:46:39,1,1010,6997,50,6.81
2026-08-04T05:51:39,1,1010,6997,50,7.32
2026-08-04T05:56:39,1,1010,6997,50,7.17
2026-08-04T06:01:40,1,1010,6997,51,7.16
2026-08-04T06:06:40,1,1010,6997,50,6.71
2026-08-04T06:11:40,1,1010,6997,50,6.77
2026-08-04T06:16:40,1,1010,6997,50,6.62
2026-08-04T06:21:40,1,1010,6997,50,6.61
2026-08-04T06:26:40,1,1010,6997,50,6.69
2026-08-04T06:31:40,1,1010,6997,50,7.10
2026-08-04T06:36:40,1,1010,6997,50,6.79
2026-08-04T06:41:40,1,1010,6997,50,6.72
2026-08-04T06:46:40,1,1010,6997,50,6.47
2026-08-04T06:51:40,1,1010,6997,50,6.80
2026-08-04T06:56:40,1,1010,6997,50,7.09
2026-08-04T07:01:41,1,1010,6997,50,6.50
2026-08-04T07:06:41,1,1010,6997,45,6.33
2026-08-04T07:11:41,1,1010,6997,44,6.51
2026-08-04T07:16:41,1,1010,6997,44,6.84
2026-08-04T07:21:41,1,1010,6997,43,6.51
2026-08-04T07:26:41,1,1010,6997,43,6.50
2026-08-04T07:31:41,1,1010,6997,43,6.31
2026-08-04T07:36:41,1,1010,6997,43,6.23
2026-08-04T07:41:41,0,1010,6997,43,7.05
2026-08-04T07:46:41,1,1010,6997,43,6.22
2026-08-04T07:51:41,1,1010,6997,43,6.48
2026-08-04T07:56:41,1,1010,6997,43,6.37
2026-08-04T08:01:42,1,1010,6997,49,7.05
2026-08-04T08:06:42,1,1010,6997,48,6.94
2026-08-04T08:11:42,1,1010,6997,45,6.43
2026-08-04T08:16:42,1,1010,6997,44,6.40
2026-08-04T08:21:42,1,1010,6997,44,6.84
2026-08-04T08:26:42,1,1010,6997,44,6.49
2026-08-04T08:31:42,1,1010,6997,44,6.38
2026-08-04T08:36:42,1,1010,6997,43,6.31
2026-08-04T08:41:42,1,1010,6997,47,6.33
2026-08-04T08:46:42,1,1010,6997,44,6.51
2026-08-04T08:51:42,1,1010,6997,44,6.42
2026-08-04T08:56:43,1,1010,6997,44,6.37
2026-08-04T09:01:43,1,1010,6997,44,6.35
2026-08-04T09:06:43,1,1010,6997,44,6.97
2026-08-04T09:11:43,1,1010,6997,43,6.34
2026-08-04T09:16:43,1,1010,6997,44,6.65
2026-08-04T09:21:43,1,1010,6997,44,6.58
2026-08-04T09:26:43,1,1010,6997,44,6.68
2026-08-04T09:31:43,0,1074,6933,50,10.23
2026-08-04T09:36:43,1,1074,6933,45,6.84
