filename,fold,true_label,pred_label,true_probability,pred_probability,margin,scene_id,nearest_train_image,review_status,is_error
00100.jpg,0,正常,有漂浮物,0.00022246928710956126,0.9994348883628845,0.9991628451389261,,,pending,True
02048.jpg,0,乱占,乱占,0.9857912063598633,0.9857912063598633,0.9745474644005299,,,pending,False
02053.jpg,0,乱采,乱采,0.9226198196411133,0.9226198196411133,0.8535291031002998,,,pending,False
02054.jpg,0,乱采,乱采,0.9373688697814941,0.9373688697814941,0.8965640775859356,,,pending,False
02059.jpg,0,乱占,乱占,0.9840170741081238,0.9840170741081238,0.9777335417456925,,,pending,False
02063.jpg,0,乱采,乱采,0.9567692279815674,0.9567692279815674,0.9320566542446613,,,pending,False
02067.jpg,0,乱采,乱采,0.9508641362190247,0.9508641362190247,0.9173272959887981,,,pending,False
02071.jpg,0,乱采,乱采,0.9659038186073303,0.9659038186073303,0.9320686161518097,,,pending,False
02075.jpg,0,乱占,乱占,0.9300834536552429,0.9300834536552429,0.8697625584900379,,,pending,False
02079.jpg,0,乱占,乱占,0.9748883247375488,0.9748883247375488,0.9595445236191154,,,pending,False
02085.jpg,0,乱占,有漂浮物,0.15167319774627686,0.8393818140029907,0.6877086162567139,,,pending,True
02086.jpg,0,乱占,乱占,0.7741653323173523,0.7741653323173523,0.5616919547319412,,,pending,False
02090.jpg,0,乱占,乱占,0.7297203540802002,0.7297203540802002,0.4687671661376953,,,pending,False
02094.jpg,0,乱采,乱采,0.8799764513969421,0.8799764513969421,0.7620419412851334,,,pending,False
02098.jpg,0,乱堆,乱堆,0.9868287444114685,0.9868287444114685,0.97840282227844,,,pending,False
02100.jpg,0,乱堆,乱堆,0.9908506274223328,0.9908506274223328,0.9875196982175112,,,pending,False
02104.jpg,0,乱堆,乱堆,0.9915750622749329,0.9915750622749329,0.9863232565112412,,,pending,False
02108.jpg,0,乱堆,乱堆,0.9878827333450317,0.9878827333450317,0.9813200221396983,,,pending,False
02114.jpg,0,乱占,乱占,0.9981082677841187,0.9981082677841187,0.9971600040444173,,,pending,False
02118.jpg,0,乱占,乱占,0.9976603984832764,0.9976603984832764,0.9962485977448523,,,pending,False
02119.jpg,0,乱占,乱占,0.9983811378479004,0.9983811378479004,0.9970363022293895,,,pending,False
02123.jpg,0,乱采,乱采,0.9917839765548706,0.9917839765548706,0.9872134770266712,,,pending,False
02127.jpg,0,乱占,乱占,0.9989724159240723,0.9989724159240723,0.9985332004143856,,,pending,False
02132.jpg,0,乱占,乱占,0.9978916049003601,0.9978916049003601,0.9970283883740194,,,pending,False
02134.jpg,0,乱占,乱占,0.9931928515434265,0.9931928515434265,0.9902406078763306,,,pending,False
02138.jpg,0,乱堆,乱堆,0.7659466862678528,0.7659466862678528,0.5406361222267151,,,pending,False
02142.jpg,0,乱堆,乱堆,0.9942394495010376,0.9942394495010376,0.9916339037008584,,,pending,False
02146.jpg,0,乱占,乱占,0.9982190728187561,0.9982190728187561,0.9974725054926239,,,pending,False
02150.jpg,0,乱堆,乱占,0.00035012775333598256,0.9920381307601929,0.9859868241474032,,,pending,True
00096.jpg,1,正常,有漂浮物,0.00024820107501000166,0.9995099306106567,0.9992617295356467,,,pending,True
02043.jpg,1,乱占,乱占,0.9986396431922913,0.9986396431922913,0.9975945675978437,,,pending,False
02049.jpg,1,乱占,乱占,0.9655782580375671,0.9655782580375671,0.9447857569903135,,,pending,False
02055.jpg,1,乱采,乱采,0.9112449884414673,0.9112449884414673,0.8450409471988678,,,pending,False
02056.jpg,1,乱采,乱采,0.7802644968032837,0.7802644968032837,0.6752841025590897,,,pending,False
02060.jpg,1,乱堆,乱堆,0.7459418177604675,0.7459418177604675,0.5106470733880997,,,pending,False
02064.jpg,1,乱采,乱采,0.99776291847229,0.99776291847229,0.9969433493097313,,,pending,False
02068.jpg,1,乱采,乱采,0.9737966656684875,0.9737966656684875,0.9480478148907423,,,pending,False
02072.jpg,1,乱占,乱占,0.9834550619125366,0.9834550619125366,0.9679971979930997,,,pending,False
02076.jpg,1,乱占,乱占,0.974859356880188,0.974859356880188,0.9669051617383957,,,pending,False
02080.jpg,1,乱占,乱占,0.9979907274246216,0.9979907274246216,0.9963794407667592,,,pending,False
02087.jpg,1,乱占,乱占,0.9889606833457947,0.9889606833457947,0.9812213713303208,,,pending,False
02091.jpg,1,乱占,乱占,0.8465138673782349,0.8465138673782349,0.6995553970336914,,,pending,False
02095.jpg,1,乱采,乱采,0.9666067957878113,0.9666067957878113,0.9402238558977842,,,pending,False
02099.jpg,1,乱堆,乱堆,0.994958221912384,0.994958221912384,0.9912441659253091,,,pending,False
02101.jpg,1,乱堆,乱堆,0.9481984376907349,0.9481984376907349,0.9171326607465744,,,pending,False
02105.jpg,1,乱堆,乱堆,0.9986491799354553,0.9986491799354553,0.997801809979137,,,pending,False
02110.jpg,1,乱堆,乱堆,0.9964635968208313,0.9964635968208313,0.9951075100107118,,,pending,False
02115.jpg,1,乱占,乱占,0.9996721744537354,0.9996721744537354,0.9995680839419947,,,pending,False
02120.jpg,1,乱占,乱占,0.9997901320457458,0.9997901320457458,0.9996764654642902,,,pending,False
02124.jpg,1,乱采,乱采,0.6526600122451782,0.6526600122451782,0.41244255006313324,,,pending,False
02129.jpg,1,乱占,乱占,0.9408438801765442,0.9408438801765442,0.9040772840380669,,,pending,False
02130.jpg,1,乱占,乱占,0.9908460974693298,0.9908460974693298,0.9863616740331054,,,pending,False
02135.jpg,1,乱占,乱占,0.9786435961723328,0.9786435961723328,0.9646776039153337,,,pending,False
02139.jpg,1,乱堆,乱堆,0.9237604737281799,0.9237604737281799,0.851335272192955,,,pending,False
02143.jpg,1,乱占,乱占,0.9936662316322327,0.9936662316322327,0.9908478381112218,,,pending,False
02147.jpg,1,乱占,乱占,0.9972934126853943,0.9972934126853943,0.995768942986615,,,pending,False
02486.jpg,1,乱建,乱占,0.01859263889491558,0.9625087380409241,0.9439160991460085,,,pending,True
00033.jpg,2,正常,有漂浮物,4.424890903464984e-06,0.9998600482940674,0.9997352012578631,,,pending,True
00064.jpg,2,正常,有漂浮物,0.0026608684565871954,0.97740638256073,0.9649606579914689,,,pending,True
02044.jpg,2,乱占,有漂浮物,0.06498420983552933,0.9242008328437805,0.8592166230082512,,,pending,True
02045.jpg,2,乱占,乱占,0.8243810534477234,0.8243810534477234,0.7452096417546272,,,pending,False
02047.jpg,2,乱占,乱占,0.9959548711776733,0.9959548711776733,0.9923421193379909,,,pending,False
02050.jpg,2,乱占,乱占,0.9951668977737427,0.9951668977737427,0.9922927895095199,,,pending,False
02057.jpg,2,乱采,乱采,0.9873766899108887,0.9873766899108887,0.9787965845316648,,,pending,False
02061.jpg,2,乱堆,乱堆,0.6004545092582703,0.6004545092582703,0.29771509766578674,,,pending,False
02065.jpg,2,乱采,乱采,0.9798293113708496,0.9798293113708496,0.9662260543555021,,,pending,False
02069.jpg,2,乱采,乱采,0.9826925992965698,0.9826925992965698,0.9661922380328178,,,pending,False
02073.jpg,2,乱占,乱占,0.7023683190345764,0.7023683190345764,0.5772374272346497,,,pending,False
02077.jpg,2,乱占,乱占,0.8109530806541443,0.8109530806541443,0.623530387878418,,,pending,False
02081.jpg,2,乱占,乱占,0.9896275997161865,0.9896275997161865,0.9797587031498551,,,pending,False
02083.jpg,2,乱占,乱占,0.987779438495636,0.987779438495636,0.9785660775378346,,,pending,False
02088.jpg,2,乱占,乱占,0.8291941285133362,0.8291941285133362,0.7150963470339775,,,pending,False
02092.jpg,2,乱采,乱采,0.8948517441749573,0.8948517441749573,0.8376353085041046,,,pending,False
02096.jpg,2,乱采,乱采,0.990584135055542,0.990584135055542,0.9854812752455473,,,pending,False
02102.jpg,2,乱堆,乱堆,0.9993354678153992,0.9993354678153992,0.998810630699154,,,pending,False
