filename,fold,true_label,pred_label,true_probability,pred_probability,confidence,margin,is_error
00033.jpg,2,正常,有漂浮物,4.424890903464984e-06,0.9998600482940674,0.9998600482940674,0.9997352012578631,True
00096.jpg,1,正常,有漂浮物,0.00024820107501000166,0.9995099306106567,0.9995099306106567,0.9992617295356467,True
01086.jpg,3,正常,有漂浮物,5.872110341442749e-05,0.9994762539863586,0.9994762539863586,0.9992974874912761,True
00100.jpg,0,正常,有漂浮物,0.00022246928710956126,0.9994348883628845,0.9994348883628845,0.9991628451389261,True
02111.jpg,2,正常,乱堆,9.33039264054969e-05,0.9976980090141296,0.9976980090141296,0.9962363505037501,True
02488.jpg,2,乱建,有漂浮物,0.006501275114715099,0.9923486709594727,0.9923486709594727,0.9858473958447576,True
02150.jpg,0,乱堆,乱占,0.00035012775333598256,0.9920381307601929,0.9920381307601929,0.9859868241474032,True
00757.jpg,0,有漂浮物,乱占,0.004662896040827036,0.9912945628166199,0.9912945628166199,0.9866316667757928,True
00064.jpg,2,正常,有漂浮物,0.0026608684565871954,0.97740638256073,0.97740638256073,0.9649606579914689,True
02487.jpg,2,乱建,有漂浮物,0.005493402015417814,0.9757781028747559,0.9757781028747559,0.963166686706245,True
02486.jpg,1,乱建,乱占,0.01859263889491558,0.9625087380409241,0.9625087380409241,0.9439160991460085,True
02044.jpg,2,乱占,有漂浮物,0.06498420983552933,0.9242008328437805,0.9242008328437805,0.8592166230082512,True
02085.jpg,0,乱占,有漂浮物,0.15167319774627686,0.8393818140029907,0.8393818140029907,0.6877086162567139,True
00114.jpg,3,正常,有漂浮物,0.02587725967168808,0.8331868052482605,0.8331868052482605,0.7027660757303238,True
02089.jpg,3,乱占,有漂浮物,0.16680340468883514,0.817834198474884,0.817834198474884,0.6510307937860489,True
02062.jpg,3,乱占,有漂浮物,0.14055266976356506,0.8151684999465942,0.8151684999465942,0.6746158301830292,True
02489.jpg,3,乱建,有漂浮物,0.14298489689826965,0.753589928150177,0.753589928150177,0.6106050312519073,True
00020.jpg,3,有漂浮物,乱占,0.27625134587287903,0.5198994278907776,0.5198994278907776,0.24364808201789856,True
