filename,relative_path,label,width,height,sha256,difference_hash,decode_status,enabled,duplicate_group_id,near_duplicate_group_id,scene_id
00000.jpg,训练集/00000.jpg,有漂浮物,4080,3060,ff4bd057f41c3cd55361f855bbe4f0b2435b4729af5ddf6c92719b39c13a55da,6049ddf9684ea6ba,ok,True,,,file_block_0000
00002.jpg,训练集/00002.jpg,有漂浮物,4080,3060,3e8b67aa874205239acb396eaa6bd5ba0aaedb3f86a17d2b577fe589a5ea4255,435d5d5d4c3f39f8,ok,True,,,file_block_0001
00003.jpg,训练集/00003.jpg,有漂浮物,1706,1280,b28a7823625cd00c48bb3e1fe864716684f8f7848beaff7c6fd2c0c9a207fb7b,737372dbddcc8c08,ok,True,,,file_block_0001
00004.jpg,训练集/00004.jpg,有漂浮物,1706,1279,3ba7740734ae0cffb8b12e0fd207461ae39fe8c105e0a5327a7dc3881916e42d,ece5dfe7f2fefeff,ok,True,,,file_block_0001
00005.jpg,训练集/00005.jpg,有漂浮物,1706,1279,0a9b05287f35711f7c4138edd509735070244a885d5bcf25898d7e93df679836,f6cbcbe9c5b46ccd,ok,True,,,file_block_0001
00006.jpg,训练集/00006.jpg,有漂浮物,1706,1280,1c72b48cb02fc6fde62d1c95e41cf731f9c3c1fff59287bb2c50c8d1b386aae3,d9e2e1850c0e1c79,ok,True,,,file_block_0001
00007.jpg,训练集/00007.jpg,有漂浮物,1706,1280,d1db0533c08d0566386d39067e36d76a424a4a2286823bd1195fdd1123d3b5d3,19058ddd79797939,ok,True,,,file_block_0001
00008.jpg,训练集/00008.jpg,有漂浮物,1706,1279,9bb7802f4662522405013d7a65cc94de6127dae523df0687f4821a4bd390a877,0f0d0311250d3d3d,ok,True,,,file_block_0001
00009.jpg,训练集/00009.jpg,有漂浮物,1706,1279,648f6bfc8a4945a8b6f478076bb27959a71ce00d22a84b9bd838b6dcf1aa3ac9,1bed1319187be9c1,ok,True,,,file_block_0001
00010.jpg,训练集/00010.jpg,有漂浮物,4080,3060,e8305ed053efd120aa04b651d8b09758c3f1767b745c562a2fa40029c9134727,efffce0fc39c0f47,ok,True,,,file_block_0001
00011.jpg,训练集/00011.jpg,有漂浮物,1706,1279,2e3b2e37b407e64e2dffe6ab43689e44dbca19287239db55a1c30e25f2ed6919,4d4c52d01667cccc,ok,True,,,file_block_0001
00012.jpg,训练集/00012.jpg,有漂浮物,1706,1279,4d16f1f4c6c10763a59181d97b8cbe10e2ec326d08d1c5fc3e395dcfe53d1b31,070eccc72373e3a1,ok,True,,,file_block_0001
00013.jpg,训练集/00013.jpg,有漂浮物,1706,1279,b4b81200299b68b75a7e65fe950e91f1ac3c40b600edc2e3d8460d13b39ff956,99c862120b468d19,ok,True,,,file_block_0001
00014.jpg,训练集/00014.jpg,有漂浮物,1706,1279,18ec8147211788ef5825eadce8a29466fd1043703e6151f037f9a74e9e2efe33,0f03a320406868ea,ok,True,,,file_block_0001
00015.jpg,训练集/00015.jpg,有漂浮物,1706,1280,996b830389799b52efdb5f98e03f23f96b61a96b65f440778b2350605ace88ac,33b399b363430d6d,ok,True,,,file_block_0001
00016.jpg,训练集/00016.jpg,有漂浮物,1706,1279,ca2676cfe0b3e909ae7a59a1a963c40e5a83effaf2035b4cc2cde2e2386b43bc,438c959033b5d1f5,ok,True,,,file_block_0001
00017.jpg,训练集/00017.jpg,有漂浮物,1706,1280,860a0c603fa4d48d50999d4b5813caf7eea1a6d343ee04a348be53eac50588a4,c11b1b0c18272775,ok,True,,,file_block_0001
00018.jpg,训练集/00018.jpg,有漂浮物,1706,1279,82c4051b999fb04c76fa2d0cbd8c6d896473b5f4ed206dc7c5d79c1196bba001,0ffba766242c2d2c,ok,True,,,file_block_0001
00019.jpg,训练集/00019.jpg,有漂浮物,4080,3060,8b95d1d23ed6d1f36a23196e7bfad1bbc40d01e88ec5e3c3fcfb23a5024ff3f0,d872727263c38303,ok,True,,,file_block_0001
00020.jpg,训练集/00020.jpg,有漂浮物,1706,1279,71e7da7d19c97e945555b9dcd0b0e94b8e9d33a59b5cb4daba99d9bec3dad614,31538b82213cf616,ok,True,,,file_block_0001
00021.jpg,训练集/00021.jpg,有漂浮物,1706,1279,aa1aab225c5ba45276cf9f036d3a77414e6a01c381441864e891881aed3ab6a1,ffffffffcbc3b4c5,ok,True,,,file_block_0001
00022.jpg,训练集/00022.jpg,有漂浮物,1706,1279,ede7eb19442774fa1a5d261950c08459fc396b49dcfa9bf95ed89183a647c1d7,d2224303079c2c00,ok,True,,,file_block_0001
00023.jpg,训练集/00023.jpg,有漂浮物,1706,1279,be9d21bf2b0d4a1294708666e0fa1ead057b384e5b143105d7096de7f72fff89,3ffbecfc7cfef6ee,ok,True,,,file_block_0001
00024.jpg,训练集/00024.jpg,有漂浮物,4080,3060,61c5e4e98fb1768c70a4b4f5e0d78d1808ba3e879cd251df225d02ca00f34652,7607072220030606,ok,True,,,file_block_0001
00025.jpg,训练集/00025.jpg,有漂浮物,4080,3060,89cb762496858775fea165db4017518d60e23df7155eb258f7952ac43527e1c8,c2e0f1b0304200c0,ok,True,,,file_block_0001
00026.jpg,训练集/00026.jpg,有漂浮物,4080,3060,cf7b0ee0cedd1ccc20e0284c94d39d678e30165110a8b98f8cf95cfe0543b1ea,7078d8d8e1210000,ok,True,,,file_block_0001
00027.jpg,训练集/00027.jpg,有漂浮物,4080,3060,459ddb8a72d73fda28ccf6af4773ccc304b8e56797b89887ca74c119e3d1a698,b0bcbc4c64044090,ok,True,,,file_block_0001
