filename,relative_path,label,group_id,group_mode,fold
00000.jpg,训练集/00000.jpg,有漂浮物,file_block_0000,provisional_sequence,1
00002.jpg,训练集/00002.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00003.jpg,训练集/00003.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00004.jpg,训练集/00004.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00005.jpg,训练集/00005.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00006.jpg,训练集/00006.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00007.jpg,训练集/00007.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00008.jpg,训练集/00008.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00009.jpg,训练集/00009.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00010.jpg,训练集/00010.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00011.jpg,训练集/00011.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00012.jpg,训练集/00012.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00013.jpg,训练集/00013.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00014.jpg,训练集/00014.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00015.jpg,训练集/00015.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00016.jpg,训练集/00016.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00017.jpg,训练集/00017.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00018.jpg,训练集/00018.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00019.jpg,训练集/00019.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00020.jpg,训练集/00020.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00021.jpg,训练集/00021.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00022.jpg,训练集/00022.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00023.jpg,训练集/00023.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00024.jpg,训练集/00024.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00025.jpg,训练集/00025.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00026.jpg,训练集/00026.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00027.jpg,训练集/00027.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00028.jpg,训练集/00028.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00029.jpg,训练集/00029.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00030.jpg,训练集/00030.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00031.jpg,训练集/00031.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00032.jpg,训练集/00032.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00033.jpg,训练集/00033.jpg,正常,file_block_0001,provisional_sequence,3
00034.jpg,训练集/00034.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00035.jpg,训练集/00035.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00036.jpg,训练集/00036.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00037.jpg,训练集/00037.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00038.jpg,训练集/00038.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00039.jpg,训练集/00039.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00040.jpg,训练集/00040.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00041.jpg,训练集/00041.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00042.jpg,训练集/00042.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00043.jpg,训练集/00043.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00044.jpg,训练集/00044.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00045.jpg,训练集/00045.jpg,有漂浮物,file_block_0001,provisional_sequence,3
00046.jpg,训练集/00046.jpg,有漂浮物,file_block_0001,provisional_sequence,3
