duplicate_group,duplicate_group_type,sha256,filename,relative_path,split,label
dup_0000,test_test,72f278e203219b6f09fd06a1a18a9e60295c546c04151ad33e1617e29ba33743,00238.jpg,初赛测试集/00238.jpg,test,
dup_0000,test_test,72f278e203219b6f09fd06a1a18a9e60295c546c04151ad33e1617e29ba33743,00239.jpg,初赛测试集/00239.jpg,test,
dup_0001,test_test,125a04fbaffd713aea3a0d2b6ecca0562ad923b958c4c976af349907ee66a70b,00276.jpg,初赛测试集/00276.jpg,test,
dup_0001,test_test,125a04fbaffd713aea3a0d2b6ecca0562ad923b958c4c976af349907ee66a70b,00278.jpg,初赛测试集/00278.jpg,test,
dup_0002,test_test,c4e404470b95894d115a3d4dec7c8e5627828d7b54e343c4b55f7fa6ef9d72a3,00307.jpg,初赛测试集/00307.jpg,test,
dup_0002,test_test,c4e404470b95894d115a3d4dec7c8e5627828d7b54e343c4b55f7fa6ef9d72a3,00309.jpg,初赛测试集/00309.jpg,test,
dup_0003,test_test,af659369dd6362b1b8699af2db1fc765de508c6e108c3f6886c3168a9fdfc1a7,02175.jpg,初赛测试集/02175.jpg,test,
dup_0003,test_test,af659369dd6362b1b8699af2db1fc765de508c6e108c3f6886c3168a9fdfc1a7,02267.jpg,初赛测试集/02267.jpg,test,
dup_0004,train_train,9b65d0a0cb50d332e2736ed7a8a72495f51c7dadb7bb44199ce88d0cd282f574,00127.jpg,训练集/00127.jpg,train,有漂浮物
dup_0004,train_train,9b65d0a0cb50d332e2736ed7a8a72495f51c7dadb7bb44199ce88d0cd282f574,00128.jpg,训练集/00128.jpg,train,有漂浮物
dup_0005,train_train,7bf07e2f1a6c99dbd29613ddd03d7635e4d733ce8db3fca99fda9296cfee2131,00154.jpg,训练集/00154.jpg,train,有漂浮物
dup_0005,train_train,7bf07e2f1a6c99dbd29613ddd03d7635e4d733ce8db3fca99fda9296cfee2131,00155.jpg,训练集/00155.jpg,train,有漂浮物
dup_0006,train_train,532fa4bf650b9fc98f3f7ddb7ff4cc0e65461598cbfb28de4880a6e1c5993cd5,00161.jpg,训练集/00161.jpg,train,有漂浮物
dup_0006,train_train,532fa4bf650b9fc98f3f7ddb7ff4cc0e65461598cbfb28de4880a6e1c5993cd5,00162.jpg,训练集/00162.jpg,train,有漂浮物
dup_0007,train_train,699b93255b255e2b2d6199a5c5c92b2d6c894c46339aadc97b34fcc5cba45fdc,00176.jpg,训练集/00176.jpg,train,有漂浮物
dup_0007,train_train,699b93255b255e2b2d6199a5c5c92b2d6c894c46339aadc97b34fcc5cba45fdc,00177.jpg,训练集/00177.jpg,train,有漂浮物
dup_0008,train_train,64fec88713e026c1fc1897012274db967529c493ed6f339163e750089e7ca22f,00215.jpg,训练集/00215.jpg,train,有漂浮物
dup_0008,train_train,64fec88713e026c1fc1897012274db967529c493ed6f339163e750089e7ca22f,00216.jpg,训练集/00216.jpg,train,有漂浮物
