filename,relative_path,original_label,reviewed_label,alternate_label,sequence_id,scene_id,source_type,confidence,reasons,priority,review_status,review_notes,evidence_scale,evidence_location
02043.jpg,训练集/02043.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02044.jpg,训练集/02044.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02045.jpg,训练集/02045.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02046.jpg,训练集/02046.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02047.jpg,训练集/02047.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02048.jpg,训练集/02048.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02049.jpg,训练集/02049.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02050.jpg,训练集/02050.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02051.jpg,训练集/02051.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02058.jpg,训练集/02058.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02059.jpg,训练集/02059.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02062.jpg,训练集/02062.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02072.jpg,训练集/02072.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02073.jpg,训练集/02073.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02074.jpg,训练集/02074.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02075.jpg,训练集/02075.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02076.jpg,训练集/02076.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02077.jpg,训练集/02077.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02078.jpg,训练集/02078.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02079.jpg,训练集/02079.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02080.jpg,训练集/02080.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02081.jpg,训练集/02081.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02082.jpg,训练集/02082.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02083.jpg,训练集/02083.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02084.jpg,训练集/02084.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class,1,pending_manual_review,,,
02085.jpg,训练集/02085.jpg,乱占,,,file_block_0006,file_block_0006,filename_contiguous_block_provisional,low,minority_class;near_duplicate_candidate,1,pending_manual_review,,,
